date,cw_spread_1M,cw_xs_std_1M,ew_spread_1M,ew_xs_std_1M,mad_1M,idr_1M,cw_spread_3M,cw_xs_std_3M,ew_spread_3M,ew_xs_std_3M,mad_3M,idr_3M,cw_spread_6M,cw_xs_std_6M,ew_spread_6M,ew_xs_std_6M,mad_6M,idr_6M,cw_spread_12M,cw_xs_std_12M,ew_spread_12M,ew_xs_std_12M,mad_12M,idr_12M,n_stocks,total_mcap
2026-06-11,0.364475,0.105419,0.361773,0.099696,0.048988,0.212824,1.128104,0.348781,0.898897,0.267742,0.105677,0.477127,1.863503,0.678263,1.335362,0.483852,0.152366,0.702471,3.170247,3.006866,3.471806,2.185942,0.224074,1.032761,503,71517834123442.437500
2026-06-12,0.361998,0.110419,0.363536,0.100253,0.050764,0.227875,1.135953,0.356869,0.910678,0.273225,0.111909,0.493834,1.849738,0.676219,1.337994,0.482027,0.154888,0.679661,3.335113,3.306244,3.613631,2.356084,0.220670,1.061262,503,71877979858139.156250
2026-06-15,0.425354,0.136343,0.429138,0.118610,0.049193,0.257628,1.023570,0.296771,0.920842,0.272044,0.100303,0.460939,1.453710,0.383282,1.308326,0.376722,0.178025,0.771962,1.825541,0.978042,2.941003,1.120626,0.208349,1.166382,110,73105322691964.921875
2026-06-16,0.373436,0.114371,0.354790,0.096758,0.050070,0.221915,1.068452,0.343796,0.847918,0.253158,0.102980,0.475675,2.044031,0.816325,1.393191,0.549695,0.134692,0.616111,4.012293,3.423030,3.654673,2.377620,0.205383,1.004308,445,72778483417580.500000
2026-06-17,0.441023,0.140287,0.405361,0.112728,0.054066,0.223898,1.099782,0.352482,0.888968,0.267342,0.106317,0.488041,2.074100,0.805811,1.470433,0.555815,0.146874,0.703438,3.296992,3.057739,3.511297,2.167795,0.217715,1.061959,503,71810054807698.171875
2026-06-18,0.550692,0.161284,0.481358,0.133696,0.064816,0.277080,1.247185,0.411876,0.995860,0.302167,0.106820,0.510411,2.310973,0.923696,1.613345,0.608003,0.154721,0.683391,3.654688,3.540007,3.779313,2.394883,0.223642,1.067858,503,72888677939501.531250
2026-06-22,0.516643,0.167875,0.449409,0.126362,0.059402,0.271575,1.410073,0.472118,1.102530,0.333071,0.112714,0.553773,2.546689,1.031319,1.756728,0.655445,0.160457,0.715837,3.801780,3.598599,3.836958,2.373282,0.229845,1.074631,503,72372182512109.015625
2026-06-23,0.383281,0.124483,0.380693,0.104520,0.048049,0.221310,1.263566,0.404149,0.983830,0.295582,0.107335,0.482743,2.142150,0.793308,1.566903,0.550134,0.158574,0.694284,3.361164,2.934116,3.512423,2.069773,0.235445,1.058833,503,71384203290435.187500
2026-06-24,0.434292,0.123390,0.428103,0.134476,0.056337,0.245357,1.211537,0.393920,0.971167,0.295233,0.104609,0.485667,2.022710,0.727324,1.531850,0.519935,0.157742,0.650572,3.330457,2.824682,3.483912,2.014402,0.226417,1.043322,503,71266331113081.500000
2026-06-25,0.421126,0.134420,0.439518,0.136303,0.061960,0.255664,1.362020,0.457438,1.023515,0.312654,0.104411,0.483834,2.198807,0.889035,1.626699,0.583334,0.168083,0.688328,3.724864,3.648068,3.692292,2.365622,0.236001,1.026799,503,71191688288865.468750
